Dchg/Chg Cycle,BC,Vact,Discharge Current,Charge Current,Chg/Dchg Cycle,Ah,Tavg
1,35,3.17,20.08,0.02,10,3.967371667,34.62760964
1,35,3.17,20.112,0.01,10,3.978545,34.62845382
1,35,3.17,20.014,0.02,10,3.989663889,34.64479981
1,35,3.17,20.071,0.02,10,4.006389722,34.63485069
1,35,3.17,19.979,0.02,10,4.017489167,34.63329353
1,35,3.17,20.082,0.02,10,4.028645833,34.63331375
1,35,3.17,20.018,0.01,10,4.039766944,34.62884177
1,35,3.17,20.078,0.01,10,4.050921389,34.63550416
1,35,3.17,19.998,0.01,10,4.062031389,34.63341217
1,35,3.17,20.007,0.01,10,4.073146389,34.63508568
1,35,3.17,19.959,0.02,10,4.084234722,34.63243179
1,35,3.17,20.053,0.01,10,4.095375278,34.63388329
1,35,3.17,19.975,0.01,10,4.1064725,34.6367855
1,35,3.17,20.02,0.02,10,4.117594722,34.63121377
1,35,3.17,20.073,0.02,10,4.134322222,34.63856773
1,35,3.17,20.009,0.02,10,4.145438333,34.63764689
1,35,3.17,20.018,0.02,10,4.156559444,34.64053611
1,35,3.17,20.004,0.01,10,4.167672778,34.63752555
1,35,3.17,20.078,0.02,10,4.178827222,34.6397499
1,35,3.17,20,0.02,10,4.189938333,34.64247474
1,35,3.16,20.057,0.02,10,4.201081111,34.63745348
1,35,3.16,20.087,0.01,10,4.212240556,34.63245391
1,35,3.17,20.048,0.02,10,4.223378333,34.63484307
1,35,3.16,20.043,0.02,10,4.240080833,34.64141541
1,35,3.16,20.064,0.02,10,4.2512275,34.64138908
1,35,3.16,20.057,0.02,10,4.262370278,34.63582381
1,35,3.17,20.018,0.01,10,4.273491389,34.63611716
1,35,3.16,20.066,0.01,10,4.284639167,34.6407261
1,35,3.16,20.007,0.02,10,4.295754167,34.6418274
1,35,3.17,20.064,0.01,10,4.306900833,34.64693946
1,35,3.17,20.025,0.02,10,4.318025833,34.64611055
1,35,3.16,20.034,0.02,10,4.329155833,34.64181747
1,35,3.17,19.998,0.01,10,4.340265833,34.64629403
1,35,3.17,20.073,0.02,10,4.3514175,34.64049071
1,35,3.16,20.075,0.01,10,4.368146667,34.64435691
1,35,3.16,20.002,0.02,10,4.379258889,34.6456688
1,35,3.16,20.075,0.01,10,4.390411667,34.64593239
1,35,3.16,20.05,0.01,10,4.401550556,34.64844055
1,35,3.16,20.069,0.01,10,4.4127,34.65068512
1,35,3.17,20.011,0.02,10,4.423817222,34.65297279
1,35,3.17,20.018,0.02,10,4.434938333,34.65278931
1,35,3.16,20.096,0.01,10,4.446102778,34.651754
1,35,3.16,20.048,0.02,10,4.457240556,34.6547287
1,35,3.16,19.977,0.02,10,4.468338889,34.65509835
1,35,3.16,20.062,0.02,10,4.479484444,34.6545578
1,35,3.16,20.073,0.02,10,4.496211944,34.65355414
1,35,3.16,20.009,0.01,10,4.507328056,34.64642373
1,35,3.16,20.055,0.01,10,4.518469722,34.65384902
1,35,3.16,20.025,0.01,10,4.529594722,34.65449028
1,35,3.16,20.043,0.02,10,4.540729722,34.65965233
1,35,3.16,20.002,0.01,10,4.551841944,34.65520935
1,35,3.16,20.066,0.01,10,4.562989722,34.65653114
1,35,3.16,19.998,0.01,10,4.574099722,34.65694466
1,35,3.16,20.066,0.02,10,4.5852475,34.65971451
1,35,3.16,20.087,0.02,10,4.601986667,34.6629181
1,35,3.16,20,0.01,10,4.613097778,34.64653168
1,35,3.16,20.082,0.02,10,4.624254444,34.65659409
1,35,3.16,19.965,0.01,10,4.635346111,34.66037941
1,35,3.16,20.071,0.01,10,4.646496667,34.66288453
1,35,3.16,20.05,0.02,10,4.657635556,34.66075554
1,35,3.16,20.062,0.02,10,4.668781111,34.65595856
1,35,3.16,20.036,0.02,10,4.679912222,34.6589798
1,35,3.16,20,0.02,10,4.691023333,34.66113549
1,35,3.16,19.936,0.01,10,4.702098889,34.65911407
1,35,3.16,20.073,0.02,10,4.713250556,34.66757393
1,35,3.16,20.069,0.01,10,4.729974722,34.665094
1,35,3.16,19.986,0.02,10,4.741078056,34.65900269
1,35,3.16,19.979,0.01,10,4.7521775,34.65886994
1,35,3.16,20.011,0.01,10,4.763294722,34.65942763
1,35,3.16,20.03,0.02,10,4.7744225,34.65381164
1,35,3.16,20.027,0.02,10,4.785548611,34.66219674
1,35,3.16,20.057,0.02,10,4.796691389,34.66811675
1,35,3.16,20.011,0.01,10,4.807808611,34.67001268
1,35,3.16,20.078,0.02,10,4.818963056,34.66033021
1,35,3.16,20.114,0.01,10,4.8301375,34.66838456
1,35,3.16,20.034,0.01,10,4.8412675,34.66189384
1,35,3.16,20.016,0.01,10,4.8579475,34.65758743
1,35,3.16,19.977,0.01,10,4.869045833,34.66564484
1,35,3.16,20.096,0.02,10,4.880210278,34.66194038
1,35,3.16,20.057,0.01,10,4.891353056,34.66685105
1,35,3.16,20.011,0.01,10,4.902470278,34.66590043
1,35,3.16,19.995,0.01,10,4.913578611,34.66804162
1,35,3.16,20.053,0.02,10,4.930289444,34.66600076
1,35,3.16,19.993,0.01,10,4.941396667,34.66414833
1,35,3.16,20.018,0.02,10,4.952517778,34.66663894
1,35,3.16,20.025,0.02,10,4.963642778,34.66025352
1,35,3.16,20.048,0.02,10,4.980349444,34.66069451
1,35,3.16,20.048,0.02,10,4.991487222,34.66591341
1,35,3.16,20.032,0.01,10,5.002616111,34.66852608
1,35,3.16,20.041,0.02,10,5.01375,34.66434517
1,35,3.16,20.011,0.01,10,5.024867222,34.66035155
1,35,3.16,19.995,0.01,10,5.035975556,34.66836623
1,35,3.16,20.025,0.01,10,5.047100556,34.66682664
1,35,3.16,20.034,0.02,10,5.058230556,34.66740684
1,35,3.16,19.981,0.02,10,5.069331111,34.67392618
1,35,3.16,20.075,0.01,10,5.080483889,34.66645202
1,35,3.16,20.101,0.02,10,5.097234722,34.67037315
1,35,3.16,19.984,0.01,10,5.108336944,34.66570319
1,35,3.16,20.05,0.02,10,5.119475833,34.66465644
1,35,3.16,20.041,0.02,10,5.130609722,34.67009314
1,35,3.16,20.069,0.02,10,5.141759167,34.66962088
1,35,3.16,20.009,0.02,10,5.152875278,34.67881773
1,35,3.16,20.05,0.01,10,5.164014167,34.67244493
1,35,3.16,19.986,0.01,10,5.1751175,34.67117576
1,35,3.16,20.064,0.02,10,5.186264167,34.665794
1,35,3.16,20.004,0.02,10,5.1973775,34.67162591
1,35,3.16,20.043,0.02,10,5.21408,34.66551858
1,35,3.16,20.002,0.01,10,5.225192222,34.66649512
1,35,3.15,20.004,0.01,10,5.236305556,34.65681191
1,35,3.15,20.073,0.01,10,5.247457222,34.6677265
1,35,3.16,19.975,0.01,10,5.258554444,34.66088677
1,35,3.15,20.064,0.02,10,5.269701111,34.66470299
1,35,3.16,20.018,0.02,10,5.280822222,34.66473885
1,35,3.15,20.02,0.02,10,5.291944444,34.66770134
